[i] Train : 134472
[i] Valid : 14942
[i] restored LSEP Loss (Inception_ResNet_v2)
[i] max_iteration : 210100
[i] decay_iteration : [105050 157575]
[i] iter : 2000, loss : 11.3501, lsep_loss : 5.8286, topk_loss : 2.1258, conf_loss : 2.1281, l2_reg_loss : 1.2676, train_time : 29sec
[i] iter : 2050, loss : 11.2880, lsep_loss : 5.7794, topk_loss : 2.1161, conf_loss : 2.1244, l2_reg_loss : 1.2681, train_time : 30sec
[i] iter : 2100, loss : 11.1756, lsep_loss : 5.7290, topk_loss : 2.1112, conf_loss : 2.0667, l2_reg_loss : 1.2686, train_time : 29sec
[i] iter : 2150, loss : 11.4016, lsep_loss : 5.8599, topk_loss : 2.1347, conf_loss : 2.1379, l2_reg_loss : 1.2692, train_time : 29sec
[i] iter : 2200, loss : 11.5319, lsep_loss : 5.9081, topk_loss : 2.1355, conf_loss : 2.2187, l2_reg_loss : 1.2697, train_time : 29sec
[i] iter : 2250, loss : 11.3668, lsep_loss : 5.8434, topk_loss : 2.1164, conf_loss : 2.1368, l2_reg_loss : 1.2703, train_time : 29sec
[i] iter : 2300, loss : 11.2910, lsep_loss : 5.8036, topk_loss : 2.1207, conf_loss : 2.0957, l2_reg_loss : 1.2709, train_time : 29sec
[i] iter : 2350, loss : 11.2652, lsep_loss : 5.8141, topk_loss : 2.1169, conf_loss : 2.0629, l2_reg_loss : 1.2714, train_time : 29sec
[i] iter : 2400, loss : 11.3070, lsep_loss : 5.7978, topk_loss : 2.1440, conf_loss : 2.0934, l2_reg_loss : 1.2719, train_time : 29sec
[i] iter : 2450, loss : 11.0978, lsep_loss : 5.6792, topk_loss : 2.1291, conf_loss : 2.0170, l2_reg_loss : 1.2724, train_time : 29sec
[i] iter : 2500, loss : 11.0654, lsep_loss : 5.6610, topk_loss : 2.1154, conf_loss : 2.0159, l2_reg_loss : 1.2730, train_time : 29sec
[i] iter : 2550, loss : 11.3421, lsep_loss : 5.8547, topk_loss : 2.1168, conf_loss : 2.0970, l2_reg_loss : 1.2736, train_time : 29sec
[i] iter : 2600, loss : 11.3095, lsep_loss : 5.8159, topk_loss : 2.1339, conf_loss : 2.0856, l2_reg_loss : 1.2741, train_time : 29sec
[i] iter : 2650, loss : 11.3043, lsep_loss : 5.7702, topk_loss : 2.1156, conf_loss : 2.1438, l2_reg_loss : 1.2747, train_time : 29sec
[i] iter : 2700, loss : 11.3544, lsep_loss : 5.8255, topk_loss : 2.1419, conf_loss : 2.1117, l2_reg_loss : 1.2752, train_time : 29sec
[i] iter : 2750, loss : 11.1346, lsep_loss : 5.6965, topk_loss : 2.1003, conf_loss : 2.0621, l2_reg_loss : 1.2758, train_time : 29sec
[i] iter : 2800, loss : 11.2773, lsep_loss : 5.8038, topk_loss : 2.1346, conf_loss : 2.0627, l2_reg_loss : 1.2763, train_time : 29sec
[i] iter : 2850, loss : 11.1850, lsep_loss : 5.7613, topk_loss : 2.1064, conf_loss : 2.0405, l2_reg_loss : 1.2768, train_time : 29sec
[i] iter : 2900, loss : 11.5423, lsep_loss : 5.9903, topk_loss : 2.1149, conf_loss : 2.1597, l2_reg_loss : 1.2773, train_time : 29sec
[i] iter : 2950, loss : 11.3728, lsep_loss : 5.8901, topk_loss : 2.0835, conf_loss : 2.1213, l2_reg_loss : 1.2779, train_time : 29sec
[i] iter : 3000, loss : 11.4041, lsep_loss : 5.8536, topk_loss : 2.1016, conf_loss : 2.1706, l2_reg_loss : 1.2783, train_time : 29sec
[i] iter : 3050, loss : 11.2280, lsep_loss : 5.7476, topk_loss : 2.1517, conf_loss : 2.0498, l2_reg_loss : 1.2789, train_time : 30sec
[i] iter : 3100, loss : 11.3673, lsep_loss : 5.8286, topk_loss : 2.1233, conf_loss : 2.1360, l2_reg_loss : 1.2794, train_time : 29sec
[i] iter : 3150, loss : 11.3533, lsep_loss : 5.8536, topk_loss : 2.1340, conf_loss : 2.0857, l2_reg_loss : 1.2800, train_time : 29sec
[i] iter : 3200, loss : 11.3205, lsep_loss : 5.8619, topk_loss : 2.0967, conf_loss : 2.0814, l2_reg_loss : 1.2806, train_time : 29sec
[i] iter : 3250, loss : 11.3632, lsep_loss : 5.8622, topk_loss : 2.1181, conf_loss : 2.1019, l2_reg_loss : 1.2810, train_time : 29sec
[i] iter : 3300, loss : 11.4495, lsep_loss : 5.9162, topk_loss : 2.1000, conf_loss : 2.1518, l2_reg_loss : 1.2816, train_time : 29sec
[i] iter : 3350, loss : 11.3734, lsep_loss : 5.8813, topk_loss : 2.1317, conf_loss : 2.0782, l2_reg_loss : 1.2821, train_time : 29sec
[i] iter : 3400, loss : 11.2884, lsep_loss : 5.8207, topk_loss : 2.1180, conf_loss : 2.0670, l2_reg_loss : 1.2827, train_time : 29sec
[i] iter : 3450, loss : 11.2026, lsep_loss : 5.7598, topk_loss : 2.0924, conf_loss : 2.0671, l2_reg_loss : 1.2833, train_time : 29sec
[i] iter : 3500, loss : 11.1324, lsep_loss : 5.7608, topk_loss : 2.1093, conf_loss : 1.9785, l2_reg_loss : 1.2838, train_time : 29sec
[i] iter : 3550, loss : 11.3676, lsep_loss : 5.8962, topk_loss : 2.1322, conf_loss : 2.0549, l2_reg_loss : 1.2844, train_time : 29sec
[i] iter : 3600, loss : 11.2944, lsep_loss : 5.8408, topk_loss : 2.1221, conf_loss : 2.0466, l2_reg_loss : 1.2849, train_time : 29sec
[i] iter : 3650, loss : 11.4078, lsep_loss : 5.8579, topk_loss : 2.1110, conf_loss : 2.1535, l2_reg_loss : 1.2854, train_time : 29sec
